id;typologie_id;baualtersklassen_id;waermebedarfswert;detailgrad
1;1;0;146;2
2;2;0;119;2
3;3;0;132;2
4;4;0;119;2
5;5;0;109;2
6;6;0;0;2
7;7;0;195;2
8;8;0;164;2
9;9;0;155;2
10;10;0;173;2
11;11;0;154;2
12;12;0;148;2
13;13;0;0;2
14;14;0;158;2
15;1;1;158;3
16;1;2;180;3
17;1;3;165;3
18;1;4;180;3
19;1;5;147;3
20;1;6;156;3
21;1;7;118;3
22;1;8;133;3
23;1;9;110;3
24;1;10;89;3
25;1;11;158;3
26;1;12;158;3
27;2;1;158;3
28;2;2;154;3
29;2;3;137;3
30;2;4;157;3
31;2;5;106;3
32;2;6;128;3
33;2;7;127;3
34;2;8;99;3
35;2;9;78;3
36;2;10;87;3
37;2;11;158;3
38;2;12;158;3
39;3;1;158;3
40;3;2;144;3
41;3;3;186;3
42;3;4;156;3
43;3;5;130;3
44;3;6;134;3
45;3;7;118;3
46;3;8;123;3
47;3;9;93;3
48;3;10;80;3
49;3;11;158;3
50;3;12;158;3
51;4;1;158;3
52;4;2;127;3
53;4;3;144;3
54;4;4;142;3
55;4;5;132;3
56;4;6;110;3
57;4;7;96;3
58;4;8;91;3
59;4;9;158;3
60;4;10;158;3
61;4;11;158;3
62;4;12;158;3
63;5;5;114;3
64;5;6;108;3
65;5;7;104;3
66;5;8;158;3
67;5;9;158;3
68;5;10;158;3
69;5;11;158;3
70;5;12;158;3
71;6;1;0;3
72;6;2;0;3
73;6;3;0;3
74;6;4;0;3
75;6;5;0;3
76;6;6;0;3
77;6;7;0;3
78;6;8;0;3
79;6;9;0;3
80;6;10;0;3
81;6;11;0;3
82;6;12;0;3
83;7;13;250;3
84;7;14;245;3
85;7;15;247;3
86;7;16;211;3
87;7;17;177;3
88;7;18;145;3
89;7;19;182;3
90;7;20;153;3
91;7;21;145;3
92;8;13;232;3
93;8;14;160;3
94;8;15;207;3
95;8;16;191;3
96;8;17;172;3
97;8;18;153;3
98;8;19;137;3
99;8;20;114;3
100;8;21;110;3
101;9;13;147;3
102;9;14;165;3
103;9;15;165;3
104;9;16;160;3
105;9;17;151;3
106;9;18;151;3
107;9;19;151;3
108;9;20;151;3
109;9;21;151;3
110;10;13;182;3
111;10;14;181;3
112;10;15;181;3
113;10;16;176;3
114;10;17;170;3
115;10;18;166;3
116;10;19;172;3
117;10;20;167;3
118;10;21;166;3
119;11;13;164;3
120;11;14;153;3
121;11;15;160;3
122;11;16;158;3
123;11;17;155;3
124;11;18;150;3
125;11;19;150;3
126;11;20;146;3
127;11;21;146;3
128;12;13;147;3
129;12;14;150;3
130;12;15;150;3
131;12;16;149;3
132;12;17;148;3
133;12;18;148;3
134;12;19;148;3
135;12;20;148;3
136;12;21;148;3
137;13;13;0;3
138;13;14;0;3
139;13;15;0;3
140;13;16;0;3
141;13;17;0;3
142;13;18;0;3
143;13;19;0;3
144;13;20;0;3
145;13;21;0;3
146;14;0;158;3
147;14;1;158;3
148;14;2;158;3
149;14;3;158;3
150;14;4;158;3
151;14;5;158;3
152;14;6;158;3
153;14;7;158;3
154;14;8;158;3
155;14;9;158;3
156;14;10;158;3
157;14;11;158;3
158;14;12;158;3
159;14;13;158;3
160;14;14;158;3
161;14;15;158;3
162;14;16;158;3
163;14;17;158;3
164;14;18;158;3
165;14;19;158;3
166;14;20;158;3
167;14;21;158;3
168;0;0;158;1
169;0;1;158;1
170;0;2;158;1
171;0;3;158;1
172;0;4;158;1
173;0;5;158;1
174;0;6;158;1
175;0;7;158;1
176;0;8;158;1
177;0;9;158;1
178;0;10;158;1
179;0;11;158;1
180;0;12;158;1
181;0;13;158;1
182;0;14;158;1
183;0;15;158;1
184;0;16;158;1
185;0;17;158;1
186;0;18;158;1
187;0;19;158;1
188;0;20;158;1
189;0;21;158;1
